system:index,CO2 emissions (non-biogenic),Industry Type (sectors),Industry Type (subparts),Latitude,Longitude,Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,Stationary Combustion,Total reported direct emissions,u_component_of_wind_10m_2020_10km,u_component_of_wind_10m_2020_1km,u_component_of_wind_10m_2020_5km,u_component_of_wind_10m_2021_10km,u_component_of_wind_10m_2021_1km,u_component_of_wind_10m_2021_5km,u_component_of_wind_10m_2022_10km,u_component_of_wind_10m_2022_1km,u_component_of_wind_10m_2022_5km,u_component_of_wind_10m_2023_10km,u_component_of_wind_10m_2023_1km,u_component_of_wind_10m_2023_5km,u_component_of_wind_10m_2024_10km,u_component_of_wind_10m_2024_1km,u_component_of_wind_10m_2024_5km,v_component_of_wind_10m_2020_10km,v_component_of_wind_10m_2020_1km,v_component_of_wind_10m_2020_5km,v_component_of_wind_10m_2021_10km,v_component_of_wind_10m_2021_1km,v_component_of_wind_10m_2021_5km,v_component_of_wind_10m_2022_10km,v_component_of_wind_10m_2022_1km,v_component_of_wind_10m_2022_5km,v_component_of_wind_10m_2023_10km,v_component_of_wind_10m_2023_1km,v_component_of_wind_10m_2023_5km,v_component_of_wind_10m_2024_10km,v_component_of_wind_10m_2024_1km,v_component_of_wind_10m_2024_5km,.geo
10,30068,Minerals,"C,N",33.96548,-87.89936,13.75,16.39,29071.94,30098.14,0.9710081082568042,0.9700631470907303,0.9709451286848034,0.09840370993407854,0.09925188337053571,0.09922591565820946,0.5247777427694181,0.5252942357744489,0.5252006363613116,0.6786258331466862,0.6759652012870425,0.6776393236468422,-0.024839648870647067,-0.023356108438400996,-0.02390650524756642,0.7979879946269648,0.7936603625615438,0.7952427343667161,0.31541821915484486,0.31416237354278564,0.31467036073328525,-0.1726718742976074,-0.17057783830733525,-0.17158696506422258,1.495879672992723,1.4915242478961037,1.493110005470976,-0.5993173270723766,-0.6006763208480108,-0.6002109943557279,"{""type"":""Point"",""coordinates"":[-87.89936,33.96548]}"
11,35903.6,Other,C,44.95018,-89.63766,17,20.264,35940.864,35940.864,2.2893628734947793,2.284677579289391,2.286235068902355,0.35037909183610055,0.34708222888764884,0.34807347789174437,0.5886801858576071,0.5894828750973656,0.5845979020608612,-0.5472430522015581,-0.543685793876648,-0.548678768017701,1.1363253344328217,1.1340332144782657,1.1351250313125079,0.4023271131374374,0.4053329002289545,0.4029573131803214,0.3628862378121078,0.3691928329921904,0.36249457825300213,-0.8463496786804242,-0.8421999783742995,-0.8472244346187027,-0.8091132673915561,-0.806306969551813,-0.8092842145755831,-0.10339398851833662,-0.10088703745887392,-0.10370818372019924,"{""type"":""Point"",""coordinates"":[-89.63766,44.95018000000001]}"
12,35019.1,"Chemicals,Industrial Gas Suppliers","C,L,OO",41.755,-90.284167,17,21.158,35057.258,637396.821,2.371814636990197,2.3857866752715338,2.3887505370517106,-0.4678147770586548,-0.4729425339471726,-0.4705910244389362,2.101801256421554,2.11675687063308,2.121975302141766,0.6889487969687881,0.6915669497989473,0.6967325923186732,1.077958985011419,1.0839843863532657,1.0848923569633846,0.6645463939546884,0.6760150988896688,0.6685334594542799,-0.6246083053594272,-0.6340769075212025,-0.6326621626170635,-0.42191100727950775,-0.4163867575781686,-0.4245623322684372,0.06173945859636792,0.07193080016544887,0.06313231540544749,0.0277692760011385,0.030696040108090357,0.028859943092067377,"{""type"":""Point"",""coordinates"":[-90.284167,41.755]}"
13,18687.4,"Chemicals,Industrial Gas Suppliers,Minerals","C,L,N,OO",44.789444,-92.908333,8.75,10.728,18266.178,20824.978,2.038984574000598,2.0764282419568016,2.043725835928264,-0.023023235663085787,-0.014452253069196426,-0.023366748484795405,1.0897035406622695,1.1418664432707288,1.0972263896004553,0.1708483510243448,0.21329343091873895,0.17587777360646917,0.9924370565883749,1.0058154991694859,0.9939596683531521,0.642699309802077,0.6543467464901153,0.6447358911627509,1.1149220763861758,1.123117102895464,1.1160004584167649,-0.3963298120398414,-0.36537183012281144,-0.39199032919442023,-1.1593738758254537,-1.1558056093397595,-1.1581471189076946,0.38757935607927585,0.39033581642877485,0.38809643615496203,"{""type"":""Point"",""coordinates"":[-92.908333,44.789444]}"
14,36527.7,"Chemicals,Industrial Gas Suppliers","C,L,OO",34.641667,-87.038611,17.25,21.158,36566.108,37564.427924,1.1212462852793579,1.1360046579724266,1.133709772053336,0.22503306295687975,0.23068527948288692,0.22913252353434124,0.6858332514119139,0.6927950495765323,0.6919202423002068,0.7183093971403194,0.7232093186605544,0.7200970650304458,0.19245432742272864,0.19891067913600377,0.19854042315869339,0.8809471679892562,0.8877024593807402,0.8888536777107752,0.3158637809589556,0.3159178608939761,0.3162660039869898,-0.32303769593152215,-0.3374072653906686,-0.3380304711907883,1.658476842696256,1.6722173747562228,1.6707406655561126,-0.5800443068987959,-0.5895199662163144,-0.5886710471947755,"{""type"":""Point"",""coordinates"":[-87.038611,34.641667]}"
15,32096.1,Minerals,C,34.70537,-92.24607,15,17.88,32128.98,32128.98,1.012051306568514,0.9920372565587362,1.0071817357925206,-0.15800406394278468,-0.169097900390625,-0.16064712307180443,0.07412932131607745,0.08271087918962751,0.07526084471989569,1.0105599651115427,0.9845298869269234,1.003745563895198,-0.2861079436664325,-0.2675606750306629,-0.28485831397388517,0.1880035586991735,0.1815082629521688,0.18601920145893425,-0.10698734770764362,-0.11899541105542864,-0.10922079707807224,-0.5830327848229508,-0.5788797821317401,-0.5809618989568045,1.5331461517219873,1.478817309652056,1.5222876445885432,-0.7052645287962043,-0.6841157390957787,-0.702837202088998,"{""type"":""Point"",""coordinates"":[-92.24607,34.70537]}"
16,53897.2,Other,C,44.879677,-94.359598,25.25,30.098,53952.548,53952.548,2.9549632437321365,2.9832452876227245,2.973035286560975,-0.14456563426205685,-0.1494387672061012,-0.1482783147568347,1.5978824912294283,1.6371571450006395,1.6144668948434349,0.45136056329601226,0.47159334023793537,0.4597010271387466,1.3348145672472738,1.3458717096419561,1.3417549102154658,0.3215991113976848,0.3294313237780616,0.3219754151839824,1.501164640755567,1.5210017987659998,1.5094957587289952,-0.9656852755976865,-0.9467735460826329,-0.9628315921880704,-2.9379895789031765,-3.026803737594968,-2.9804321683211725,0.40526289121943443,0.4144473189399356,0.40851172072647296,"{""type"":""Point"",""coordinates"":[-94.359598,44.879677]}"
17,31361.7,Other,C,37.834476,-94.330625,14.75,17.582,31394.032,31394.032,1.3220895329830162,1.3385541836420696,1.327961091971516,-0.5307189171632355,-0.537322998046875,-0.5334126848204106,0.5667776027303549,0.5709194682893299,0.5692066231261946,0.666251564801498,0.6762325934001377,0.6680518436194652,0.14403374281653475,0.14630709375653947,0.14514726672910225,0.4428193817044249,0.4428142990384783,0.4424328473867665,-0.1515724760695821,-0.16070276782626197,-0.15388117452787295,-0.8022929141117906,-0.8218810842150733,-0.80961382756214,0.5891079125343657,0.5648594413484845,0.578646720656002,0.12476036324921443,0.11638649304707845,0.12184972515662,"{""type"":""Point"",""coordinates"":[-94.330625,37.834476]}"
18,27022.8,Minerals,C,35.660546,-79.176782,12.75,15.198,27050.748,27050.748,1.6985833208113768,1.6965893166405814,1.695198877652486,0.18259102216151532,0.18360101609002977,0.1860418261480273,1.0234842305049023,1.024957089197068,1.0234384391188476,1.3620818749113612,1.3597013666516258,1.3592666830626452,0.8296264302278747,0.8310779503413609,0.8295915244408725,0.35805959245090474,0.3582195724759783,0.35931999386448565,-0.6763993536418104,-0.6675968340465,-0.6681144777526203,0.20983509477535653,0.21284791969117664,0.2124475171423366,0.9750187312432929,0.9844092925389608,0.9802023232929291,-0.47445536934136184,-0.4654878094082787,-0.46711410195254,"{""type"":""Point"",""coordinates"":[-79.176782,35.660546]}"
19,39224.1,Power Plants,"C,D",42.7553,-86.0853,18,21.456,101.6,39263.556,4.179337992372343,4.00994090239207,4.211076095249892,-0.5302323440945059,-0.5074041457403273,-0.53805326995551,2.1299922202757324,1.993616989680699,2.1523656752815086,1.1346280518032257,1.0850896665028162,1.1480561826612201,1.9670612853705596,1.8740961097535633,1.97937247757809,1.0902483220077488,1.0646840674536568,1.094029037997525,-0.8734445113081659,-0.8460578180494762,-0.8818045390587989,-0.39906730205015933,-0.3207998900186448,-0.40712316299578655,0.5024765587207166,0.4929890916461036,0.5044077488100251,-0.4289223812406581,-0.3912022113800049,-0.43296538764794357,"{""type"":""Point"",""coordinates"":[-86.0853,42.75529999999999]}"
