system:index,CO2 emissions (non-biogenic),Industry Type (sectors),Industry Type (subparts),LST_2020_10km,LST_2020_1km,LST_2020_5km,LST_2021_10km,LST_2021_1km,LST_2021_5km,LST_2022_10km,LST_2022_1km,LST_2022_5km,LST_2023_10km,LST_2023_1km,LST_2023_5km,LST_2024_10km,LST_2024_1km,LST_2024_5km,Latitude,Longitude,Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,Stationary Combustion,Total reported direct emissions,.geo
29,151104.8,Other,C,21.94145217845159,22.31240231990234,21.954869787093966,24.539369432588384,24.652706959707004,24.544278067819192,22.383031947661607,23.298903846153895,22.738975363901805,24.39621356324364,24.671446886446912,24.397272997756353,21.79047323287555,21.794846851561175,21.616018210766935,43.49951,-92.91709,71.25,84.93,151260.98,151260.98,"{""type"":""Point"",""coordinates"":[-92.91709,43.499509999999994]}"
30,80559.1,"Other,Suppliers of CO2","C,PP",18.5492135695953,18.99905320108209,18.827710721470346,22.168971153850226,22.909634806131695,22.606084519005655,17.467308408949666,17.94895401262401,17.81853744836866,21.575097577856482,22.20706642620981,22.10365723910536,20.06980769771665,21.19998196573494,20.615667458248566,44.9589,-90.9608,38,45.296,80642.396,80642.396,"{""type"":""Point"",""coordinates"":[-90.9608,44.95889999999999]}"
31,27845,Minerals,C,30.402818852723676,30.72467248908301,30.431938335292365,27.05264187152451,26.82746179039306,26.78368641620597,32.5420908385685,32.519858078602674,32.5488554709769,30.96766343283313,30.736566593886494,30.786145466022393,29.922460896550003,29.550302037845743,29.815648063500365,30.32903,-97.29207,13,15.496,27873.496,27873.496,"{""type"":""Point"",""coordinates"":[-97.29207000000001,30.329030000000003]}"
32,4741.81302,Minerals,C,31.963993365209316,31.299978991596657,31.72835929328596,31.61434986935724,30.979556022408996,31.380957335770564,36.7252715890422,36.338067226890786,36.67063065318656,32.220671128953356,31.85468487394961,32.1660100862752,32.42360412324515,32.34025910364149,32.29242303310691,34.323944,-99.818194,2.234175,2.6631366,4746.7103316,4746.7103316,"{""type"":""Point"",""coordinates"":[-99.81819400000002,34.323944000000004]}"
33,98983.4,Power Plants,C,22.17374560711761,20.866456801470616,21.83510173527784,21.207205976227883,20.53706954656866,20.85402969048061,23.42666530596548,22.24596415441177,22.81520964160449,22.8947654811357,22.160298713235328,22.436492492769695,22.100621902212403,21.60647058823531,21.758863768383495,42.929287,-85.431127,46.75,55.726,99085.876,99085.876,"{""type"":""Point"",""coordinates"":[-85.431127,42.929286999999995]}"
34,292341.4,Chemicals,C,24.719221939657395,25.379857657657684,25.292392965117966,25.267449666293516,25.403178378378392,25.559884544080347,26.337215028528895,27.02943063063067,26.843848257322968,26.701634916561947,27.004356756756795,27.055477596189537,25.48495896624043,26.28232792792798,26.129088246199526,32.005405,-93.387829,2.5,3.874,292347.774,292347.774,"{""type"":""Point"",""coordinates"":[-93.387829,32.005405]}"
35,89331.3,Other,C,21.2408067472851,21.811324307500808,21.314925210887942,22.849735950014164,23.51077186430129,22.992765985862164,22.09553211070433,23.04566293183943,22.317075832681148,24.133069775566682,24.317903983815768,24.38729501589317,22.146359766607972,22.490678493619715,22.14054092991232,42.3586,-89.80342,42,50.064,89423.364,89423.364,"{""type"":""Point"",""coordinates"":[-89.80342,42.3586]}"
36,80263.5,Other,C,22.11729164234405,23.21117823865347,22.80307387719681,24.758912538485824,25.168300270514003,25.324123568621797,22.73553772510311,25.158787195671803,24.32845326776115,22.612671498698262,25.71914337240759,24.434056604228463,22.597430560506222,23.144825067628528,23.19309364614436,44.186805,-93.995493,37.75,45.296,80346.546,80346.546,"{""type"":""Point"",""coordinates"":[-93.99549300000001,44.186805]}"
37,1929528.9,"Other,Waste","C,TT",21.714130756076717,21.25862393967957,20.767984689019226,23.03100110825214,22.811509582155217,22.321127624918574,20.752418577920622,21.650191643104034,20.321845712424235,23.693970311639454,24.49122431668241,23.529257755725986,22.1361771740332,22.605664781652557,21.97579530826016,41.8196,-90.2122,6106.25,10141.834,1945617.234,1945776.984,"{""type"":""Point"",""coordinates"":[-90.2122,41.819599999999994]}"
38,2728848.3,"Other,Waste","C,II",23.709600265218018,24.772802457466955,24.63114075603958,25.360653397948994,27.52468887838692,26.754658186256126,25.134848386330038,27.704982671707633,27.125447114782848,26.592670753954543,28.593637366099593,27.976645186238247,23.166903501940695,24.01603654694396,24.066146833145595,41.9192,-91.6862,7473,10197.858,2745000.658,2746519.158,"{""type"":""Point"",""coordinates"":[-91.6862,41.919200000000004]}"
